Common name,Scientific Name,Genus,Species,Family,Info Native or Introduced to WI,Info WI Status,Info Coefficient of Conservatism,Description,Description Quick ID,Description Medicinal uses,Description Edibility,Description Fun Facts,Description Look-Alikes,Description interactions in the prairie,Info Blooming Period,Info Soil Preference,Info Most Common Common Names,Flower color,Flower arrangement,Flower symmetry,Number Flower Parts,Flowering month,Leaf arrangement,Leaf type,Leaf shape,Leaf Margin,Petiole present,Leaf venation,Stem shape,Stem Texture,Plant Height,Growth Form,Distribution
Ox-eye sunflower,Heliopsis helianthoides,Heliopsis,helianthoides,"Aster, Daisy (Asteraceae)",Native,,5,"Ox-eye sunflower is found throughout the prairie region and thrives in disturbed areas and woody habitats like savannas and along streambanks.  It can grow to 5 feet tall, forms in bunches and has an exceptionally long blooming period (June-Oct). ","The stem is branched toward the top of the plant. Arrowhead-shaped leaves are opposite on the stem, can be 6 inches long, and are distributed evenly along the stem. The leaves are generally wider than 2 inches and egg-shaped and are coarsely toothed.  Leaf upper surfaces are dark green and rough-textured.   The leaf stems are usually > 0.5 inch and partially winged.  The orange-yellow ray and disk flowers form a conical disk.  It can also be distinguished by its alternating long and short bracts bellow the flowers.  Flower stalks are green and rough.",Unknown.,Unknown.,"The genus name comes from the Greek words helios (sun) and opsis (apprearance) in reference to the sunflower like appearance of the plant.  The species name breaks down to the same meaning: helianth (sunflower) and oides (resembling).
Ox-eye sunflower (aka false sunflower) is not considered a true sunflower (Helianthus sp.) because seeds are produced by both the ray and disk florets within the flower head.  In true sunflowers, only the disk florets produce seeds. 
Is often used in flower gardens and thus many cultivars are available in nurseries. 
","Compared to similar sunflower species (Helianthus spp.), ox-eye sunflower can be distinguished by its alternating long and short bracts at the base of the flower. 
Compared to similar sunflower species (Helianthus spp.) which have flower heads that tend to nod with ray flowers that wither and fall away, ox-eye sunflower has flowers that are more erect and the ray flowers persist as the seed matures. 
Compared to rosinweed (Silphium integrifolium) which has leaves with no or very small and sparse teeth, ox-eye sunflower leaves have coarse teeth.  
Compared to showy sunflower (Helianthus pauciflorus) which has leaves that are more abundant on the lower half of the plant, ox-eye sunflower has leaves that are distributed evenly along the stem.
","The nectar and pollen of the flowerheads attract a wide variety of insects, including honeybees, bumblebees, wasps, flies, beetles, butterflies, and skippers. These floral visitors cross-pollinate the flowerheads. Other insects feed on the leaves, stems, seeds, and other parts of False Sunflower. These species include beetles and moth larvae. Little is known about this plant's relationships to vertebrate animals, but they are probably similar to those of sunflowers. Hoofed mammalian herbivores probably browse on the young foliage, while upland gamebirds, granivorous songbirds, and small rodents probably eat the seeds.",July-Sept,Wet-mesic to Dry-mesic,"false sunflower, ox-eye, sunflower-everlasting",yellow,"cyme, solitary",radial,more,"Jul, Aug, Sept",opposite,simple,"ovate, lanceolate",coarsely toothed,yes,branched,round,hairless,"150, 33","upright no/few branches, upright branching","singular, bunches"
Dame's rocket,Hesperis matronalis,Hesperis,matronalis,Mustard (Brassicaceae),Introduced,naturalized; ecologically invasive,0,"Dame’s rocket is an invasive species that boasts colorful bouquets of lavender blooms early in the summer.  Planted often as a garden ornamental, this species easily escapes and can form massive colonies in areas with disturbed soil.  Flowers are very fragrant, particularly in the evening.","A rosette of stalked basal leaves emerges in spring but withers away by early summer. Stem leaves taper to a point and are rounded at the base.  Leaves are hairy with fine teeth around the edges. Leaves near the base of the plant have short stalks but most are stalkless. Leaves become smaller as they ascend the stem.  The stems are hairy, especially on the lower half of the plant.",Has been used to prevent scurvy and to induce sweeting and urination. ,The young leaves can be tossed into salads and other dishes as they add an extra tang. The seed can be sprouted and added to salads. Flowers can be tossed into salads for color.,"The genus name comes from the Greek word hespera for evening because of the plant’s fragrance during the night.
The specific epithet refers to March 1, which was the Roman festival of the matrons (married ladies).
","Compared to phlox plants which have flowers containing five petals, dame’s rocket has four-petalled flowers. ","The primary pollinators of Dame’s Rocket are butterflies and moths, which suck nectar. Other insect visitors, with one or two exceptions, are less effective at pollination and are attracted by the pollen (their mouthparts aren't long enough to reach the nectar). Information about this plant's relationships to birds and mammals is currently unavailable.",May-Sept,Wet-mesic to Dry-mesic,dame's rocket,"purple, pink, white",raceme,radial,4,"May, Jun, Jul, Aug, Sept",alternate,simple,"lanceolate, ovate",finely toothed,no,branched,round,hairy,"71, 18","upright no/few branches, upright branching","bunches, singular"
Prairie alumroot,Heuchera richardsonii,Heuchera,richardsonii,Saxifrage (Saxifragaceae),Native,,7,Prairie alumroot tends to drier soils of rocky woodlands and on sandy prairies but it can be found in a variety of habitats. The inconspicuous green flowers bloom in the spring and develop hundreds of tiny seeds that look similar to cracked pepper.  Showier varieties have been introduced in the nursery trade and are generally called coral-bells. ,"A rosette of heart-shaped leaves surrounds flowering stems that reach 1-3 feet tall.  The leaves have 5 to 9 shallow lobes, coarse sharp teeth, wavy edges, and a long hairy stalk. Surfaces are hairy, especially along veins on the underside.  The small inconspicuous flowers are green or brown. The 2 upper lobes drape over the stamens that poke out the end of the tube.",Native Americans and early settlers used pounded dried roots to help close wounds that were difficult to heal and to treat diarrhea. The same powder was also used to treat sore throats.  The root was also chewed to relive stomach pain. A dressing was made from the green leaves to heal open wounds and sores.,Unknown.,"The common name alludes to the alum-like (acidic) taste. 
The specific epithet honors John Richardson, a Scottish surgeon, naturalist, and artic explorer who accompanied the infamous Franklin expedition to the arctic. 
The genus name honors Johann Heinrich von Heucher a physician, botanist and medicinal plant expert at Wittenberg University, Germany.
","Compared to American alumroot (Heuchera americana) a more southern and eastern species that has short hairs lying against the stem and petioles (or is devoid of conspicuous hairs), prairie alumroot has straight white hairs on the petioles of the leaves and the flowering stems.","Small bees pollinate the flowers, including Halictid bees and Plasterer bees. The seeds are too small to be of any interest to birds, while the relationship of this plant to mammals is uncertain.",June-July,Wet-mesic to Dry,"prairie alum-root, Richardson's alum-root","green, orange, yellow",panicle,bilateral,5,"Jun, Jul",basal,simple,"lobed, orbicular","lobed, coarsely toothed",yes,branched,round,hairy,"48, 15",upright no/few branches,singular
Giant St. John's-wort,Hypericum ascyron,Hypericum,ascyron,St. John's wort (Hypericaceae),Native,,6,"This robust and attractive species is distinguished from other St. John’s-wort species by its size.  While the large flowers are beautiful, you’ll be lucky to see them as the blooming period is quite short. ","The flowers are from 2 - 2½ inches across with 5 bright to golden yellow petals and many long yellow stamens with orange tips. In the center is a green pyramid shaped ovary with 4 or 5 red-tipped styles that are fused at the base. The leaves are up to 3 inches long and 1 inch wide, toothless and hairless, rounded at the base and slightly tapering to a point at the tip, with no leaf stem. There are glandular dots or streaks scattered on the surface. ","The fruit has been used to treat skin problems and gonorrhea. The plant has been used in the treatment of boils and abscesses, headaches and stomach ache and vomiting. The root is considered to be specific for use in treating the first stages of tuberculosis. A powder made from the boiled root has been applied as a poultice to draw the poison out of a snake bite.","The young leaves, shoot tips and flowering buds have been cooked. The leaves have been used to make a tea.","Some taxonomists consider North American populations of Giant St. John's Wort to be distinct from the Eurasian populations (calling it Hypericum pyramidatum) while others group them into one species (Hypericum ascyron).
The latin name Hypericum translates to “above the picture”, which pays homage to the plant’s ancient use in the pagan solstice festival of Walpurgisnacht. Flowers of the plant would be placed above icons to ward off evil spirits. 
The common name ""St John's wort"" comes from its traditional flowering and harvesting on St John's Day, 24 June.
","Compared to other St. John’s-worts (Hypericum spp.), giant St. John’s-wort has larger flowers and leaves and grows to be much taller. ","The flowers are pollinated primarily by bees, which collect pollen. Other insects may visit the flowers as well, but they are less effective pollinators. Only pollen is available as a reward to floral visitors. Some insects feed on the leaves, flowers, and other parts of this and other St. John's Wort species. These include the caterpillars of the moths and butterflies which feed on the developing capsules and seeds. Other insects that feed on St. John’s Wort include the aphids and beetles. The foliage is somewhat toxic to mammalian herbivores and usually avoided because it can cause irritation of the gastrointestinal tract. The foliage can also cause a harmful reaction to sunlight in light-skinned animals (e.g., pigs), causing irritation of the skin.",July-Aug,Wet-mesic to Mesic,"giant St. John's-wort, great St. John's-wort",yellow,"cyme, solitary",radial,5,"Jul, Aug",opposite,simple,"lanceolate, ovate, obovate",entire,no,branched,square,hairless,"155, 36",upright branching,"bunches, singular"
Common St John's-wort,Hypericum perforatum,Hypericum,perforatum,St. John's wort (Hypericaceae),Introduced,naturalized; ecologically invasive,0,"A widespread weed throughout North America, common St. John's-wort is most well-known for its antidepressant properties. It can be quite invasive, forming dense colonies and crowding out native plants.","The leaves are oval to oblong, up to 2 inches long, with rounded tips and no leaf stalk. Most of the leaves have tiny translucent dots (oil glands) that can be seen when held up to the sun. The stems are green and smooth. The flowers have 5 petals that are about 1 inch across with tiny black dots around the edges. Each flower is usually on a short stalk, with many flowers branching off the top part of the plant.","St. John's wort has a long history of herbal use. The herb is used in treating a wide range of disorders, including pulmonary complaints, bladder problems, diarrhea and nervous depression. It has been used to deter bed-wetting. Externally, it is used in poultices to dispel tumors, caked breasts, and bruising.",The flowers are used to make mead.  The leaves and fruit are used to make tea. ,"When held up to the light tiny dots give the impression the leaf is perforated (which is where the scientific name comes from).  The dots on the leaves and petals are actually sacs of essential oils, used as an herbal remedy to treat everything from depression to infection. 
The black dots on the petals can dye your skin red when they're crushed. 
The common name ""St John's wort"" comes from its traditional flowering and harvesting on St John's Day, 24 June.
The latin name Hypericum translates to “above the picture”, which pays homage to the plant’s ancient. Flowers of the plant would be placed above icons to ward off evil spirits. 
","Compared to most St. John's-worts (Hypericum spp), common St. John's-wort has black dots along the margins of its petals. 
Compared to spotted St. John's-wort (Hypericum punctatum) which has black dots and streaks along the interior of the flower petals, common St. John's-wort has black dots only on the margins of the petals and the plant stems have more branches. 
","Bumblebees and other kinds of bees visit the flowers to collect pollen. Occasionally, flies and beetles may feed on the pollen, although they are less effective at pollination. The showy flowers may attract other kinds of insects, but they are vainly seeking nectar, which the flowers do not produce. The caterpillars of the butterflies feed on the seed capsules of St. John's Worts, while the caterpillars of the moths feed on the foliage. Mammalian herbivores are not attracted to Common St. John's Wort as a food plant because it can cause a photosensitive reaction (particularly in light-skinned animals) and gastrointestinal distress.",June-Sept,Mesic to Dry,"common St. John's-wort, Klamath-weed, St. John's-wort",yellow,cyme,radial,5,"Jun, Jul, Aug, Sept",opposite,simple,"oblong, linear, lanceolate",entire,no,branched,"ridged, square",hairless,"76, 18",upright branching,"bunches, singular"
Spotted St. John's-wort,Hypericum punctatum,Hypericum,punctatum,St. John's wort (Hypericaceae),Native,,4,A common plant throughout the eastern United States.  It can be distinguished from its nonnative cousin common St. John’s-wort by examining the petals. ,"The opposite leaves are stalkless and sometimes clasping.  New leaves are dotted with black glands around the edges and on the underside. Stems are multiple from the base, hairless, and mostly unbranched except in the flower cluster.",It is used for nervous conditions such as insomnia and bed-wetting. St. John's-wort has been demonstrated to significantly increase the healing of burns. Internal use of the plant may cause temporary sensitivity to intense sunlight.,Unknown but probably similar to Hypericum perforatum. ,"The common name of this plant refers to the feast day of St. John, which was celebrated in Medieval Europe at the time of the summer solstice which corresponded to the time when the European species blooms.","Compared to other St. John’s-wort species which have no dots on the petals or dots only along the petal margins, spotted St. John’s-wort has dark dots and streaks anywhere on the upper surface of the yellow petals. 
Compared to common St. John's-wort (Hypericum perforatum) which has translucent dots on newly formed leaves, spotted St. John’s-wort has black dots on the newly formed leaves. 
","The flowers attract many bees. Beetles and flies may also visit the flowers, but they are less effective pollinators. The reward of these insects is the abundant pollen, as the flowers produce no nectar. The caterpillars of the butterflies reportedly eat the seed capsules, while the caterpillars of the moths feed on the foliage. Mammalian herbivores usually do not consume this plant because the leaves contain hypericin – a photosensitive toxin. Light-skinned animals are especially sensitive to this toxin, which can cause the skin to blister in sunlight. It can also cause gastrointestinal irritation.",June-Aug,Mesic to Dry-mesic,spotted St. John's-wort,yellow,cyme,radial,5,"Jun, Jul, Aug",opposite,simple,"oblong, obovate",entire,"yes, no",branched,round,hairless,"76, 18",upright branching,"bunches, singular"
Orange jewelweed,Impatiens capensis,Impatiens,capensis,Touch-me-not (Balsaminaceae),Native,,2,"The eye-catching orange flowers of jewelweed sparkle in the sunlight, hence the common name.  If you notice jewelweed with mature seed pods, you’ll find the plant irresistible to play with as the pods explode in your hand, launching the seeds in every direction.  Jewelweed is also known for is mucilaginous sap that is reported to soothe skin irritation caused by poison ivy and stinging nettle. ","The alternating leaves are hairless with widely spaced teeth around the edges and petioles about 1 inch long.  The stems are branching and very light colored, nearly translucent.  The stems are easily broken and contain a mucilaginous sap.  The flowers are about 1 inch long and funnel shaped, tapering like a wind sock.  At the pack of the flower is a long narrow spur the curls under the tube of the flower. This is where the nectar is stored.  The color is quite variable, but typically orange with a varying amount of red spots on the inside.","The juices of from the stems and leaves reduce alleviate contact dermatitis from poison ivy, poison oak, and stinging nettles.  The juices also can alleviate irritation from bug bites and acne.  The sap also has fungicidal properties and has been used to treat Athlete's Foot. ","The small seeds, which taste similar to walnuts have been eaten as have the colorful flowers, uncooked in salads or cooked in a stir fry. The stems and leaves are harvested when young and cooked as a pot herb. ","The seed pods of Jewelweed will explode upon touch or heat.  Place a few in your palm and sprinkle in a few choice magic words and… poof.  A fun little botanical magic trick that is sure to please the younger botanists along the trail. 
The flowers collected in large quantities can be used to make an orange dye.  
The species name ""capensis"", meaning ""of the cape"", is a misnomer.  The author mistakenly thought the plant was native to the Cape of Good Hope in southern Africa.
There are two types of flowers on jewelweed.  The familiar large ones and also smaller inconspicuous ones that are self-fertilized. 
The cultivated Impatiens of the horticultural industry is of the same genus. 
Jewelweed conveniently shares the same habitat as stinging nettle, the plant that it is a supposed antidote for. 
","Compared to yellow touch-me-not (Impatiens pallida) which is a larger plant with larger flowers that are pale yellow and have a shorter spur that is bent at a right angle, orange touch-me-not is smaller with smaller orange flowers that contain two lower petals that are fused at the base.","The flowers attract the Ruby-Throated Hummingbird and various bees. Swallowtail butterflies are less common visitors. These visitors seek nectar; many bees also collect pollen. Sometimes bumblebees will steal nectar by chewing holes near the spur of the flower. Various smaller insects will visit the same holes to steal nectar. The caterpillars of several moths feed on the foliage. Upland gamebirds eat the large seeds, including the Ruffed Grouse, Ring-Necked Pheasant, Greater Prairie Chicken, and Bobwhite Quail. Among mammals, White-Tailed Deer browse on the foliage, while the White-Footed Mouse eats the seeds.",July-Sept,Wet to Mesic,"orange jewelweed, orange touch-me-not, spotted touch-me-not",orange,raceme,bilateral,"3, 5","Jul, Aug, Sept",alternate,simple,"elliptic, ovate",coarsely toothed,yes,branched,"square, ridged",hairless,"122, 41",upright branching,"bunches, singular, patches"
Wild lettuce,Lactuca canadensis,Lactuca,canadensis,"Aster, Daisy (Asteraceae)",Native,,2,This is a common and weedy plant with a highly variable appearance.  Wild lettuce is a native species that does best in disturbed soil and tends to disappear from restorations after a few years.   This plant has a long history with humans as both an edible plant that has been domesticated and as a medicinal species. ,"Leaves are quite variable, often deeply lobed towards the base of the plant, gradually becoming smaller, and more smooth-edged and unlobed at the top. The leaves are usually hairless except for sparse hairs along the midvein on the underside. Leaf edges are often wavy and toothless or with a few small teeth.  The leaves often clasp the stem with a pair of small lobes (auricles) at the base. Stems are mostly smooth, green to purplish or spotted purple, sometimes with a waxy bloom, and unbranched except in the flower clusters.  The flowers resemble tiny dandelion flowers.  They form fluffy seed heads about 1-inch in diameter.  The seed is a brown, flattened, oval-elliptic, with a long, slender beak (stalk) at least half as long as the seed body. At the tip of the beak is a tuft of white hairs to carry it off in the wind.
Wild Lettuce can be distinguished from other native lettuces by the color of its flowers, the appearance of its achenes with attached tufts of hairs, and the absence of hairs on its stems and leaves (aside from the scattered non-prickly hairs that may appear along the central veins on the underside of the leaves).
","The white latex contains lactones that can be used as a sedative. Native Americans used an infusion to treat pain, as a stimulant, and for calming the nerves. The milky sap was used topically to treat warts and poison ivy.  ",The leaves can be eaten raw or cooked.  Eating too much can potentially result in a stomach ache and drowsiness.   The leaves of tall lettuce are high in several vitamins.,"One of Charles Darwin’s favorite meals in his elderly age was boiled wild lettuce.
Historically Lactuca has been used to ease anxiety, to induce sleep, and as a mild hypnotic. Its effects are said to be similar to those of opiates. That led to the common name “poor man's opium”.
Wild Lettuce has a long association with humans, remaining as a wild ancestor of domesticated lettuce that can be purchased from the grocery store. 
","Compared to tall blue lettuce (Lactuca biennis) which has a short, stout beak and light brown hairs on the seeds, wild lettuce has 
Compared to tall blue lettuce (Lactuca biennis) which has leaves with winged stalks that are not clasping and often have hairs on major veins, not just the leaf midrib, wild lettuce has
Compared to prickly lettuce (Lactuca serriola) which has grey achenes (seeds) that are shorter than the thread-like beaks that attach them to tufts of hair, wild lettuce has achenes that are about the same length as the stem-like beaks. 
Compared to prickly lettuce (Lactuca serriola) which has blue-green foliage and stout prickles on the undersides of the leaves, wild lettuce has sparse non-prickly hairs along the central veins on the underside of the leaves. 
","The nectar and pollen of the small flowers attract primarily bees. The caterpillars of some moths feed on Wild Lettuce. Several aphid species the plant as a host.  Among vertebrate animals, the Eastern Goldfinch occasionally eats the seeds. Notwithstanding the bitter white latex in the foliage, mammalian herbivores occasionally browse on the foliage of this plant. The Cottontail Rabbit eats the tender leaves of first-year plants, while White-Tailed Deer eats the tops off of more mature plants. Horses, cattle, and sheep also feed on this plant.",July-Sept,Mesic to Dry,"Canada lettuce, tall lettuce, tall wild lettuce, wild lettuce",yellow,panicle,radial,more,"Jul, Aug, Sept",alternate,simple,lobed,"lobed, finely toothed",no,branched,round,"hairless, prickly","135, 56","upright no/few branches, upright branching","bunches, singular"
Motherwort,Leonurus cardiaca,Leonurus,cardiaca,Mint (Lamiaceae),Introduced,naturalized,0,"An introduced mint that is a common weed in disturbed prairies and woodland edges, motherwort is found around the world, probably due to its wide use as an herbal remedy.  It produces small, tubular, hairy purple flowers and has a characteristic minty fragrance.  Plants create colonies from spreading rhizomes.","Leaves vary in size and shape as they ascend the stem.   The lower leaves are deeply lobed in 3 to 5 parts with large teeth and often resemble maple leaves.  They have prominent veins, are somewhat hairy and are on long stalks.  The leaves progressively become smaller and narrower, the lobes and teeth less deep, at the top of the plant. The stems are square, variously hairy, and mostly unbranched except in the upper plant.   Clusters of stalkless flowers surround the stem. The petioles of the motherwort are longer than the flowers, and its leaves have wedged-shaped bottoms and 3-5 cleft lobes with pointed tips. Other species in the Mint family have petioles that are shorter than the flowers, or their leaves have rounded bottoms and unlobed margins.","Motherwort has been used for centuries as a healing herb for a variety of ailments, including uterine infection, prevent pregnancy, regulate menstruation, ease stomach gas and cramping, menopausal problems, and insomnia.","Fresh or dried flowers can be used as a flavoring in soups, particularly in split pea or lentil soup. It has been used to make a mint flavored beer and the leaves and flowers can be used to make a tea.","Motherwort has a long history of use as an herb in traditional medicine.  Midwives used it for a variety of purposes, including uterine tonic and prevention of uterine infection in women, hence the name motherwort. It is also believed that the early Greeks gave pregnant women motherwort who suffered anxiety. 
The Latin name is derived from the Greek: leon for lion and ouros for tail. 
The species name cardiac comes from kardiaca, meaning heart because of its use in the treatment of heart conditions. 
","Compared to the less common Siberian motherwort (Leonurus sibiricus) which has finely divided leaves and flowers that are much less hairy, motherwort has toothed or lobed (but not finely divided) leaves and charismatically hairy flowers. ","The flowers are pollinated by bees that are primarily attracted by nectar. Flies are attracted to the pollen of the flowers, but they are less effective pollinators. Occasionally the foliage is attacked by mites. Mammalian herbivores avoid the foliage as a food source because it is bitter-tasting and probably slightly toxic. It is possible that the seeds are transported by mammals because the spine-like teeth of the calyx can cling to fur (or clothing).",June-Aug,Wet-mesic to Dry,"lion's-tail, motherwort","pink, white",spike,bilateral,5,"Jun, Jul, Aug",opposite,simple,lobed,"lobed, coarsely toothed",yes,branched,square,"hairy, fuzzy","99, 36","upright no/few branches, upright branching","bunches, singular"
Prairie pepperweed,Lepidium densiflorum,Lepidium,densiflorum,Mustard (Brassicaceae),Introduced,naturalized,0,This is one of many members of the Mustard family that has been introduced from Eurasia and become a weed in Midwestern agricultural fields and degraded habitats.  It is also known as common peppergrass.,Distinguishing this species from other peppergrasses can be difficult.  A key characteristics to look for is that the petals of the flowers are shorter than the sepals (sometimes absent) and the alternate leaves of the stems are rarely pinnatifid.  The leaves are hairless (or nearly so) and when crushed lacks a foul odor.   Other members of the Mustard family can be distinguished from the peppergrasses by the shapes of their seedpods.,The leaves have been chewed in the treatment of headaches. An infusion of the plant has been used in the treatment of kidney problems. It has also been used as a dietary aid for a person trying to lose weight.,"Young leaves can be eaten raw or cooked and are rich in vitamin C.  It is sometimes chopped and added to salads, used as a garnish or cooked as greens. The unripe seedpods have a pleasantly pungent taste and can be eaten raw or used as a condiment in soups and stews. The seed can be used like pepper. ",Has been used as a weight loss herb. ,"Compared to stinking peppergrass (Lepidium ruderale) which has pinnatifid alternate leaves and foul-smelling foliage, prairie pepperweed does not have pinnatifid leaves and lacks a strong odor when crushed. 
Compared to other species in the genus (Lepidium spp.) which have petals larger than the sepals, prairie pepperweed has petals smaller than the sepals. 
","Generally, the flowers of Peppergrass attract small bees and flies. These insects seek nectar and pollen from the flowers. The various caterpillars of butterflies feed on peppergrasses, as do the caterpillars of moths. The foliage of this group of plants has a peppery taste from mustard oils in varying degrees, which may provide some protection from mammalian herbivores.",May-June,Wet to Dry-mesic,"prairie pepper-weed, prairie pepperwort, small peppergrass",green,raceme,radial,4,"May, Jun",alternate,simple,"lobed, linear","lobed, coarsely toothed",no,branched,round,"fuzzy, hairless","41, 15","upright no/few branches, upright branching","bunches, singular"
Round-headed bush clover,Lespedeza capitata,Lespedeza,capitata,"Bean, Pea (Fabaceae)",Native,,5,"While not a particularly showy plant, round-headed bushclover is a staple in tallgrass prairies across the Midwest.  It is particularly noticeable during the winter season as the dense brown seed heads remain standing into the spring. ","It is fairly easy to distinguish this plant from other members of the Bean family by the stout bristly flowerheads and small white flowers. The leaves are trifoliate on very short stalks. The leaflets are up to 3 inches long and to 1 inch wide.   The end leaflet is largest and longer stalked than the 2 lateral leaflets.  The leaves are covered in silky hairs that give the plant a gray hue.  The plants are typically unbranched and either erect or leaning. The inconspicuous white flowers are about ¼-inch across, usually with only a few flowers in a cluster open at one time.",Round-headed bushclover is reported to lower blood cholesterol levels and remove nitrogenous compounds from the blood of people with hyperazotemia.  It has been used to relieve irritation from burns and as an antidote for poison.,The leaves have been boiled to make tea. ,"It was called the ""male buffalo bellow plant"" by Native Americans because it was one of the dominant prairie plants in flower during buffalo reproductive (bellowing) season.","Compared to other bushclovers (Lespediza spp.), round-headed bushclover has much larger leaves and grows twice as tall. 
Compared to tick trefoils (Desmodium spp.), round-headed bushclover has much shorter (or no) leaf petioles. 
","The flowers are visited primarily by various bees. Butterflies may suck nectar from the flowers, but they are not effective pollinators. The caterpillars of several species of skippers feed on the foliage. The caterpillars of several moths also feed on the foliage. Other insects feeding on this plant include various beetles. Because it is high in protein and palatable, many mammalian herbivores eat the plant during different growth stages, including deer, rabbits, groundhogs, and livestock. An overpopulation of these animals may interfere with this plant's establishment. The seeds are eaten primarily by upland gamebirds, including the Mourning Dove, Bobwhite, and Wild Turkey. During the winter, the seeds are eaten by the Slate-Colored Junco.",July-Sept,Mesic to Dry,"round-headed bush-clover, round-headed lespedeza","white, green, yellow","head, spike",bilateral,5,"Jul, Aug, Sept",alternate,trifoliate,"divided, linear, oblong",entire,yes,branched,"round, ridged","fuzzy, hairy","109, 28",upright no/few branches,"bunches, singular"
Slender bush clover,Lespedeza virginica,Lespedeza,virginica,"Bean, Pea (Fabaceae)",Native,Threatened,10,"A delicate prairie legume, slender bush clover is listed as “threatened” species by the Wisconsin Department of Natural Resources.  Its flowers are small but very attractive and the plant is somewhat inconspicuous yet quite important in the ecosystem, especially as a nitrogen fixer and as food for wildlife. ","Typically reaching about two feet tall, the stems of slender bush clover are sparsely branched and have fine white hairs.  The trifoliate leaves have petioles that are about ½ inch long with slender leaflets that come to a tiny point.  The flowers form on crowded heads and can self-pollinate in the absence of insect visitors.  The petals are tiny and pink.  Over time, this small legume will establish a deep taproot far longer than the above-ground portion of the plant. ",Unknown but probably similar to Lespedeza capitata.  ,Unknown. ,"Slender bush clover is an excellent seed source for wildlife.
Probably hybridizes with other bushclovers on rare occasions. 
Is an important food source for game birds, particularly the bobwhite quail
","Compared to round-headed bush clover (Lespedeza capitate) which grows to be 4 feet tall, slender bush clover is shorter, more delicate in appearance, with much smaller, greener leaves and pinker flowers. 
Compared to prairie bush clover (Lespedeza leptostachya) which has fewer, more spaced-out leaves, slender bush clover has leaves that are packed closer together on the stem and flowers that are more clustered and brighter pink. 
","The flowers are visited by various bees, flies, small butterflies, and skippers. These insects seek nectar, although the bees also collect pollen. Among these visitors, bees are probably the most effective pollinators of the flowers. The caterpillars of some species of skippers feed on the foliage. The seeds are eaten by some upland gamebirds, particularly the Bobwhite, and occasionally the Wild Turkey. Mammalian herbivores of all kinds readily feed on Slender Bush Clover, including deer, rabbits, groundhogs, and livestock. An overpopulation of these animals can make the establishment of this plant difficult in some areas.",July-Sept,Mesic to Dry-mesic,"slender bush-clover, Virginia lespedeza","pink, purple, white","spike, raceme",bilateral,5,"Jul, Aug, Sept",alternate,trifoliate,"divided, linear, oblong",entire,yes,branched,round,fuzzy,"43, 10",upright no/few branches,"bunches, singular"
Ox-eye daisy,Leucanthemum vulgare,Leucanthemum,vulgare,"Aster, Daisy (Asteraceae)",Introduced,naturalized; ecologically invasive,0,"Commonly planted as a garden ornamental, ox-eye daisy is a fast growing weed that readily escapes and can easily outcompete and displace native species.  It can spread vegetatively by rhizomes or from seeds.",The leaves easily distinguish this species from others with similar flowers.   The lower leaves are spoon shaped with narrow lobes or large teeth.  The leaves become smaller as they ascend the stem.  The single flower at the end of a long stalk is the classic example of a daisy flower.  The flowers have 15-35 white petals (ray flowers) and a golden yellow button of disk flowers at the center.  The bracts surrounding the base of the flower are in 2 to 4 layers and are brown along the entire length of their margins.,"Ox-eye daisy was once used to treat whooping cough, asthma, internal wounds, and ulcers amongst other things. Like its relative chamomile, it has a calming effect as a tea.",All the aerial parts are reported to be edible raw. The flowers and leaves can be used in salads and the flower buds have been pickled.  The leaves have been used to make tea.,"In France, this plant is called Marguerite after Queen Margaret of Anjou.  
Ox-eye daisy is a nuisance for dairy farmers because when consumed by cows, the oxeye daisy gives an unpleasant flavor to their milk.
It is a close relative to the chrysanthemums. 
The yellow disk of the flower resembles the sun, hence the common name daisy, or “day’s eye.
It was brought from Europe in the 1800s.
","Compared to dog-fennel (Anthemis cotula) which has much finer divided leaves, ox-eye daisy has leaves that are not fully divided. 
Compared to most other introduced daisies from Europe, Ox-eye daisy has larger flowerheads (more than 1.25"" across).
","The nectar and pollen of the flowers attract a variety of insects, including small bees, flies, beetles, wasps, small butterflies, and skippers. Livestock and probably other herbivores eat the foliage occasionally; the seeds can pass through the digestive tracts of these animals and remain viable. This introduces colonies of the plant into new areas.",June-Aug,Mesic to Dry,"common daisy, field daisy, marguerite, ox-eye daisy",yellow,head,radial,more,"Jun, Jul, Aug",alternate,simple,"lobed, spatulate","lobed, coarsely toothed","yes, no",branched,ridged,hairless,"43, 18","upright no/few branches, upright branching","bunches, singular, patches"
